cid,firstlast,lastname,party,office,gender,first_elected,phone,website,congress_office,twitter_id,youtube_url,facebook_id,birthdate,state
N00035451,Alma Adams,Adams,D,NC12,F,2014,202-225-1510,http://adams.house.gov,222 Cannon House Office Building,RepAdams,,CongresswomanAdams,5/27/46,NC
N00049133,Wiley Nickel,Nickel,D,NC13,M,2022,,,,,,,,NC
N00050407,Jeff Jackson,Jackson,D,NC14,M,2022,,,,,,,,NC
N00035492,Thom Tillis,Tillis,R,NCS1,M,2014,202-224-6342,https://www.tillis.senate.gov/public,185 Dirksen Senate Office Building,senthomtillis,,SenatorThomTillis,8/30/60,NC
N00039551,Ted Budd,Budd,R,NCS2,M,2022,202-225-4531,https://budd.house.gov,118 Cannon House Office Building,RepTedBudd,,RepTedBudd,10/21/71,NC
N00039373,Cori Bush,Bush,D,MO01,F,2020,202225-2406,https://bush.house.gov/,563 Cannon House Office Building,@RepCori,,RepCori,7/21/76,MO
N00033106,Ann Wagner,Wagner,R,MO02,F,2012,202-225-1621,http://wagner.house.gov,435 Cannon House Office Building,RepAnnWagner,,RepAnnWagner,9/13/62,MO
N00030026,Blaine Luetkemeyer,Luetkemeyer,R,MO03,M,2008,202-225-2956,http://luetkemeyer.house.gov,2230 Rayburn House Office Building,RepBlainePress,https://youtube.com/BLuetkemeyer,BlaineLuetkemeyer,5/7/52,MO
N00049617,Mark Alford,Alford,R,MO04,M,2022,,,,,,,,MO
N00026790,Emanuel Cleaver,Cleaver,D,MO05,M,2004,202-225-4535,http://cleaver.house.gov,2335 Rayburn House Office Building,RepCleaver,https://youtube.com/repcleaver,emanuelcleaverii,10/26/44,MO
N00013323,Sam Graves,Graves,R,MO06,M,2000,202-225-7041,https://graves.house.gov,1135 Longworth House Office Building,RepSamGraves,,1.18515E+11,11/7/63,MO
N00049123,Eric Burlison,Burlison,R,MO07,M,2022,,,,,,,,MO
N00035282,Jason Smith,Smith,R,MO08,M,2013,202-225-4404,https://jasonsmith.house.gov,1118 Longworth House Office Building,RepJasonSmith,https://youtube.com/RepJasonSmith,repjasonsmith,6/16/80,MO
N00048414,Eric Schmitt,Schmitt,R,MOS1,M,2022,,,,,,,,MO
N00041620,Josh Hawley,Hawley,R,MOS2,M,2018,202-224-6154,https://www.hawley.senate.gov,B40a Dirksen Senate Office Building,,,,12/31/79,MO
N00030191,Dina Titus,Titus,D,NV01,F,2012,202-225-5965,https://titus.house.gov,2464 Rayburn House Office Building,RepDinaTitus,https://youtube.com/CongresswomanTitus,CongresswomanTitus,5/23/50,NV
N00031177,Mark Amodei,Amodei,R,NV02,M,2011,202-225-6155,https://amodei.house.gov,332 Cannon House Office Building,MarkAmodeiNV2,https://youtube.com/markamodeinv2,MarkAmodeiNV2,6/12/58,NV
N00037247,Susie Lee,Lee,D,NV03,F,2018,202-225-3252,https://susielee.house.gov/,522 Cannon House Office Building,RepSusieLee,,,11/7/66,NV
N00033638,Steven Horsford,Horsford,D,NV04,M,2018,202-225-9894,http://horsford.house.gov,1330 Longworth House Office Building,RepHorsford,,,4/29/73,NV
N00038734,Jacky Rosen,Rosen,D,NVS1,F,2018,202-225-3252,https://rosen.house.gov,413 Cannon House Office Building,RepJackyRosen,,RepJackyRosen,8/2/57,NV
N00037161,Catherine Cortez Masto,Masto,D,NVS2,F,2016,202-224-3542,https://www.cortezmasto.senate.gov,B40a Dirksen Senate Office Building,sencortezmasto,,SenatorCortezMasto,3/29/64,NV
N00033474,Suzanne Bonamici,Bonamici,D,OR01,F,2012,202-225-0855,http://bonamici.house.gov,439 Cannon House Office Building,RepBonamici,https://youtube.com/RepSuzanneBonamici,congresswomanbonamici,10/14/54,OR
N00045773,Cliff Bentz,Bentz,R,OR02,M,2020,202225-6730,https://bentz.house.gov/,"1239 Longworth House Office Building Washington, DC  20515",@RepBentz,,,1/12/52,OR
N00007727,Earl Blumenauer,Blumenauer,D,OR03,M,1996,202-225-4811,https://blumenauer.house.gov,1111 Longworth House Office Building,BlumenauerMedia,https://youtube.com/RepBlumenauer,blumenauer,8/16/48,OR
N00049734,Val Hoyle,Hoyle,D,OR04,F,2022,,,,,,,,OR
N00048900,Lori Chavez-Deremer,Chavez-Deremer,R,OR05,F,2022,,,,,,,,OR
N00049738,Andrea Salinas,Salinas,D,OR06,F,2022,,,,,,,,OR
N00029303,Jeff Merkley,Merkley,D,ORS1,M,2008,202-224-3753,https://www.merkley.senate.gov,313 Hart Senate Office Building,SenJeffMerkley,https://youtube.com/SenatorJeffMerkley,jeffmerkley,10/24/56,OR
N00007724,Ron Wyden,Wyden,D,ORS2,M,1996,202-224-5244,https://www.wyden.senate.gov,221 Dirksen Senate Office Building,RonWyden,https://youtube.com/senronwyden,wyden,5/3/49,OR
N00049775,Nathaniel Moran,Moran,R,TX01,M,2022,,,,,,,,TX
N00042224,Dan Crenshaw,Crenshaw,R,TX02,M,2018,202-225-6565,https://crenshaw.house.gov/,413 Cannon House Office Building,RepDanCrenshaw,,,3/14/84,TX
N00049337,Keith Self,Self,R,TX03,M,2022,,,,,,,,TX
N00047264,Patrick Fallon,Fallon,R,TX04,M,2020,202225-6673,https://fallon.house.gov/,"1118 Longworth HOB Washington, DC  20515",@RepPatFallon,https://www.youtube.com/RepPatFallon,RepPatFallon,12/19/67,TX
N00042237,Lance Gooden,Gooden,R,TX05,M,2018,202-225-3484,https://gooden.house.gov/,425 Cannon House Office Building,,,,12/1/82,TX
N00042243,Jake Ellzey,Ellzey,R,TX06,M,2021,,,,,,,,TX
N00041194,Lizzie Fletcher,Fletcher,D,TX07,F,2018,202-225-2571,https://fletcher.house.gov/,1429 Longworth House Office Building,RepFletcher,,,2/13/75,TX
N00048776,Morgan Luttrell,Luttrell,R,TX08,M,2022,,,,,,,,TX
N00026686,Al Green,Green,D,TX09,M,2004,202-225-7508,http://algreen.house.gov,2347 Rayburn House Office Building,RepAlGreen,https://youtube.com/RepAlGreen,repalgreen,9/1/47,TX
N00026460,Michael McCaul,Mccaul,R,TX10,M,2004,202-225-2401,http://mccaul.house.gov,2001 Rayburn House Office Building,RepMcCaul,https://youtube.com/MichaelTMcCaul,michaeltmccaul,1/14/62,TX
N00045421,August Pfluger,Pfluger,R,TX11,M,2020,202225-3605,https://pfluger.house.gov/,"1531 Longworth House Office Building, Washington, DC 20515",@RepPfluger,,,,TX
N00008799,Kay Granger,Granger,R,TX12,F,1996,202-225-5071,http://kaygranger.house.gov,1026 Longworth House Office Building,RepKayGranger,https://youtube.com/RepKayGranger,RepKayGranger,1/18/43,TX
N00046055,Ronny Jackson,Jackson,R,TX13,M,2020,202225-3706,https://jackson.house.gov/,"118 Cannon HOB Washington, DC 20515",@RepRonnyJackson,,,5/4/67,TX
N00033539,Randy Weber,Weber,R,TX14,M,2012,202-225-2831,http://weber.house.gov,1708 Longworth House Office Building,TXRandy14,https://youtube.com/TXRandy14,TXRandy14,7/2/53,TX
N00045793,Monica De La Cruz,De La Cruz,R,TX15,F,2022,,,,,,,,TX
N00041702,Veronica Escobar,Escobar,D,TX16,F,2018,202-225-4831,https://escobar.house.gov/,1505 Longworth House Office Building,RepEscobar,,,9/15/69,TX
N00005681,Pete Sessions,Sessions,R,TX17,M,1996,202-225-2231,https://sessions.house.gov,2233 Rayburn House Office Building,PeteSessions,https://youtube.com/PeteSessions,petesessions,3/22/55,TX
N00005818,Sheila Jackson Lee,Jackson Lee,D,TX18,F,1994,202-225-3816,http://jacksonlee.house.gov,2187 Rayburn House Office Building,JacksonLeeTX18,https://youtube.com/TX18SJL,1.69479E+11,1/12/50,TX
N00038285,Jodey Arrington,Arrington,R,TX19,M,2016,202-225-4005,https://arrington.house.gov,1029 Longworth House Office Building,RepArrington,,JodeyArrington,3/9/72,TX
N00033316,Joaquin Castro,Castro,D,TX20,M,2012,202-225-3236,https://castro.house.gov,1221 Longworth House Office Building,JoaquinCastrotx,https://youtube.com/JoaquinCastroTX,JoaquinCastroTX,9/16/74,TX
N00042268,Chip Roy,Roy,R,TX21,M,2018,202-225-4236,https://roy.house.gov/,1319 Longworth House Office Building,,,,8/7/72,TX
N00046067,Troy Nehls,Nehls,R,TX22,M,2020,202225-5951,https://nehls.house.gov/,"1104 Longworth House Office Building Washington, DC  20515",@RepTroyNehls,,,4/7/68,TX
N00044592,Tony Gonzales,Gonzales,R,TX23,M,2020,202225-4511,https://gonzales.house.gov/,"1009 Longworth House Office Building, Washington, DC 20515",@RepTonyGonzales,,RepTonyGonzales,10/10/80,TX
N00045167,Beth Van Duyne,Van Duyne,R,TX24,F,2020,202225-6605,https://vanduyne.house.gov/,"1337 Longworth House Office Building, Washington, DC 20515",@RepBethVanDuyne,,,11/16/70,TX
N00030602,Roger Williams,Williams,R,TX25,M,2012,202-225-9896,http://williams.house.gov,1323 Longworth House Office Building,RepRWilliams,,RepRogerWilliams,9/13/49,TX
N00025219,Michael Burgess,Burgess,R,TX26,M,2002,202-225-7772,http://burgess.house.gov,2336 Rayburn House Office Building,MichaelCBurgess,https://youtube.com/michaelcburgessmd,michaelcburgess,12/23/50,TX
N00041882,Michael Cloud,Cloud,R,TX27,M,2018,202-225-7742,https://cloud.house.gov/,1314 Longworth House Office Building,RepCloudTX,,,5/13/75,TX
N00024978,Henry Cuellar,Cuellar,D,TX28,M,2004,202-225-1640,http://cuellar.house.gov,2209 Rayburn House Office Building,RepCuellar,https://youtube.com/henrycuellar,1.52569E+11,9/19/55,TX
N00042282,Sylvia Garcia,Garcia,D,TX29,F,2018,202-225-1688,https://sylviagarcia.house.gov/,1620 Longworth House Office Building,RepSylviaGarcia,,,9/6/50,TX
N00049840,Jasmine Crockett,Crockett,D,TX30,F,2022,,,,,,,,TX
N00025095,John Carter,Carter,R,TX31,M,2002,202-225-3864,https://carter.house.gov,2110 Rayburn House Office Building,JudgeCarter,https://youtube.com/repjohncarter,judgecarter,11/6/41,TX
N00040989,Colin Allred,Allred,D,TX32,M,2018,202-225-2231,https://allred.house.gov/,328 Cannon House Office Building,RepColinAllred,,,4/15/83,TX
N00033839,Marc Veasey,Veasey,D,TX33,M,2012,202-225-9897,http://veasey.house.gov,1519 Longworth House Office Building,RepVeasey,https://youtube.com/marcveasey,CongressmanMarcVeasey,1/3/71,TX
N00038809,Vicente Gonzalez,Gonzalez,D,TX34,M,2016,202-225-2531,https://gonzalez.house.gov,113 Cannon House Office Building,RepGonzalez,,USCongressmanVicenteGonzalez,9/4/67,TX
N00049855,Greg Casar,Casar,D,TX35,M,2022,,,,,,,,TX
N00005736,Brian Babin,Babin,R,TX36,M,2014,202-225-1555,http://babin.house.gov,316 Cannon House Office Building,RepBrianBabin,,RepBrianBabin,3/23/48,TX
N00006023,Lloyd Doggett,Doggett,D,TX37,M,1994,202-225-4865,https://doggett.house.gov,2307 Rayburn House Office Building,RepLloydDoggett,https://youtube.com/doggett,lloyddoggett,10/6/46,TX
N00044362,Wesley Hunt,Hunt,R,TX38,M,2022,,,,,,,,TX
N00024852,John Cornyn,Cornyn,R,TXS1,M,2002,202-224-2934,https://www.cornyn.senate.gov,517 Hart Senate Office Building,JohnCornyn,https://youtube.com/senjohncornyn,sen.johncornyn,2/2/52,TX
N00033085,Ted Cruz,Cruz,R,TXS2,M,2012,202-224-5922,https://www.cruz.senate.gov,404 Russell Senate Office Building,SenTedCruz,https://youtube.com/sentedcruz,SenatorTedCruz,12/22/70,TX
N00046688,Diana Harshbarger,Harshbarger,R,TN01,F,2020,202225-6356,https://harshbarger.house.gov/,"167 Cannon House Office Building Washington, DC  20515",@RepHarshbarger,,,,TN
N00041594,Tim Burchett,Burchett,R,TN02,M,2018,202-225-5435,https://burchett.house.gov/,1122 Longworth House Office Building,RepTimBurchett,,,8/25/64,TN
N00030815,Chuck Fleischmann,Fleischmann,R,TN03,M,2010,202-225-3271,http://fleischmann.house.gov,2410 Rayburn House Office Building,RepChuck,https://youtube.com/repchuck,repchuck,10/11/62,TN
N00030957,Scott Desjarlais,Desjarlais,R,TN04,M,2010,202-225-6831,https://desjarlais.house.gov,2301 Rayburn House Office Building,DesJarlaisTN04,https://youtube.com/ScottDesJarlaisTN04,ScottDesJarlaisTN04,2/21/64,TN
N00050943,Andy Ogles,Ogles,R,TN05,M,2022,,,,,,,,TN
N00041599,John Rose,Rose,R,TN06,M,2018,202-225-4231,https://johnrose.house.gov/,1232 Longworth House Office Building,,,,2/23/65,TN
N00041873,Mark Green,Green,R,TN07,M,2018,202-225-2811,https://markgreen.house.gov,533 Cannon House Office Building,RepMarkGreen,,,11/8/64,TN
N00025445,David Kustoff,Kustoff,R,TN08,M,2016,202-225-4714,https://kustoff.house.gov,508 Cannon House Office Building,repdavidkustoff,,RepDavidKustoff,10/8/66,TN
N00003225,Steve Cohen,Cohen,D,TN09,M,2006,202-225-3265,https://cohen.house.gov,2404 Rayburn House Office Building,RepCohen,https://youtube.com/repcohen,CongressmanSteveCohen,5/24/49,TN
N00003105,Marsha Blackburn,Blackburn,R,TNS1,F,2018,202-225-2811,http://blackburn.house.gov,2266 Rayburn House Office Building,MarshaBlackburn,https://youtube.com/RepMarshaBlackburn,marshablackburn,6/6/52,TN
N00045369,Bill Hagerty,Hagerty,R,TNS2,M,2020,202224-4944,https://www.hagerty.senate.gov/,"Russell Senate Office Building Suite SR-B11  Washington, DC 20002",@SenatorHagerty,,,8/14/59,TN
N00042868,Kelly Armstrong,Armstrong,R,ND01,M,2018,202-225-2611,https://armstrong.house.gov/,1004 Longworth House Office Building,RepArmstrongND,,,10/8/76,ND
N00031688,John Hoeven,Hoeven,R,NDS1,M,2010,202-224-2551,https://www.hoeven.senate.gov,338 Russell Senate Office Building,SenJohnHoeven,https://youtube.com/senatorjohnhoevennd,SenatorJohnHoeven,3/13/57,ND
N00004614,Kevin Cramer,Cramer,R,NDS2,M,2018,202-225-2611,http://cramer.house.gov,1717 Longworth House Office Building,RepKevinCramer,https://youtube.com/kevincramer,CongressmanKevinCramer,1/21/61,ND
N00050780,Mary Peltola,Peltola,D,AK01,F,2022,,,,,,,,AK
N00035774,Dan Sullivan,Sullivan,R,AKS1,M,2014,202-224-3004,https://www.sullivan.senate.gov,702 Hart Senate Office Building,SenDanSullivan,,SenDanSullivan,11/13/64,AK
N00026050,Lisa Murkowski,Murkowski,R,AKS2,F,2002,202-224-6665,https://www.murkowski.senate.gov,522 Hart Senate Office Building,LisaMurkowski,https://youtube.com/senatormurkowski,SenLisaMurkowski,5/22/57,AK
N00000575,John Larson,Larson,D,CT01,M,1998,202-225-2265,https://larson.house.gov,1501 Longworth House Office Building,RepJohnLarson,https://youtube.com/RepJohnLarson,RepJohnLarson,7/22/48,CT
N00024842,Joe Courtney,Courtney,D,CT02,M,2006,202-225-2076,https://courtney.house.gov,2348 Rayburn House Office Building,RepJoeCourtney,https://youtube.com/repcourtney,joecourtney,4/6/53,CT
N00000615,Rosa DeLauro,DeLauro,D,CT03,F,1990,202-225-3661,https://delauro.house.gov,2413 Rayburn House Office Building,RosaDeLauro,https://youtube.com/rosadelauro,CongresswomanRosaDeLauro,3/2/43,CT
N00029070,Jim Himes,Himes,D,CT04,M,2008,202-225-5541,https://himes.house.gov,1227 Longworth House Office Building,JAHimes,https://youtube.com/congressmanhimes,CongressmanJimHimes,7/5/66,CT
N00043421,Jahana Hayes,Hayes,D,CT05,F,2018,202-225-4476,https://hayes.house.gov/,1415 Longworth House Office Building,,,,3/8/73,CT
N00027566,Christopher S Murphy,Murphy,D,CTS1,M,2012,202-224-4041,https://www.murphy.senate.gov,136 Hart Senate Office Building,ChrisMurphyCT,https://youtube.com/senchrismurphy,chrismurphyct,8/3/73,CT
N00031685,Richard Blumenthal,Blumenthal,D,CTS2,M,2010,202-224-2823,https://www.blumenthal.senate.gov,706 Hart Senate Office Building,SenBlumenthal,https://youtube.com/SenatorBlumenthal,SenBlumenthal,2/13/46,CT
N00049900,Becca Balint,Balint,D,VT01,F,2022,,,,,,,,VT
N00000528,Bernie Sanders,Sanders,I,VTS1,M,2006,202-224-5141,https://www.sanders.senate.gov,332 Dirksen Senate Office Building,SenSanders,https://youtube.com/senatorsanders,senatorsanders,9/8/41,VT
N00000515,Peter Welch,Welch,D,VTS2,M,2022,202-225-4115,https://welch.house.gov,2303 Rayburn House Office Building,PeterWelch,https://youtube.com/reppeterwelch,PeterWelch,5/2/47,VT
N00039533,John Bergman,Bergman,R,MI01,M,2016,202-225-4735,https://bergman.house.gov,414 Cannon House Office Building,RepJackBergman,,RepJackBergman,2/2/47,MI
N00036275,John Moolenaar,Moolenaar,R,MI02,M,2014,202-225-3561,https://moolenaar.house.gov,117 Cannon House Office Building,RepMoolenaar,,RepMoolenaar,5/8/61,MI
N00044885,Hillary Scholten,Scholten,D,MI03,F,2022,,,,,,,,MI
N00030673,Bill Huizenga,Huizenga,R,MI04,M,2010,202-225-4401,http://huizenga.house.gov,2232 Rayburn House Office Building,RepHuizenga,https://youtube.com/RepHuizenga,RepHuizenga,1/31/69,MI
N00026368,Tim Walberg,Walberg,R,MI05,M,2010,202-225-6276,http://walberg.house.gov,2436 Rayburn House Office Building,RepWalberg,https://youtube.com/RepWalberg,RepWalberg,4/12/51,MI
N00036149,Debbie Dingell,Dingell,D,MI06,F,2014,202-225-4071,https://debbiedingell.house.gov,116 Cannon House Office Building,RepDebDingell,,RepDebbieDingell,11/23/53,MI
N00041357,Elissa Slotkin,Slotkin,D,MI07,F,2018,202-225-4872,https://slotkin.house.gov/,1531 Longworth House Office Building,RepSlotkin,,,7/10/76,MI
N00033395,Dan Kildee,Kildee,D,MI08,M,2012,202-225-3611,http://dankildee.house.gov,227 Cannon House Office Building,RepDanKildee,https://youtube.com/RepDanKildee,RepDanKildee,8/11/58,MI
N00045730,Lisa McClain,Mcclain,R,MI09,F,2020,202225-2106,https://mcclain.house.gov/,"218 Cannon House Office Building Washington, DC  20515",@RepLisaMcClain,,,4/7/66,MI
N00041550,John James,James,R,MI10,M,2022,,,,,,,,MI
