industry_code,industry_name,indivs,pacs,total,last_updated,cycle,cid
F07,Securities & Investment,112550,0,112550,03/20/2023,2022,N00048277
F10,Real Estate,64720,9500,74220,03/20/2023,2022,N00048277
N15,Misc Manufacturing & Distributing,59080,0,59080,03/20/2023,2022,N00048277
M02,Automotive,43250,5000,48250,03/20/2023,2022,N00048277
N05,Business Services,36985,0,36985,03/20/2023,2022,N00048277
Q05,Pro-Israel,23865,11000,34865,03/20/2023,2022,N00048277
F09,Insurance,23896,5000,28896,03/20/2023,2022,N00048277
K01,Lawyers/Law Firms,158949,22500,181449,03/20/2023,2022,N00036018
W06,Retired,171238,0,171238,03/20/2023,2022,N00036018
F10,Real Estate,91575,42000,133575,03/20/2023,2022,N00036018
Q02,Democratic/Liberal,87100,8000,95100,03/20/2023,2022,N00036018
M02,Automotive,45775,32000,77775,03/20/2023,2022,N00036018
K02,Lobbyists,70052,1000,71052,03/20/2023,2022,N00036018
F07,Securities & Investment,40100,25000,65100,03/20/2023,2022,N00036018
F09,Insurance,2715,60500,63215,03/20/2023,2022,N00036018
H01,Health Professionals,15125,35000,50125,03/20/2023,2022,N00036018
N05,Business Services,37820,12000,49820,03/20/2023,2022,N00036018
W06,Retired,1248414,0,1248414,03/20/2023,2022,N00045974
Q01,Republican/Conservative,727605,21126,748731,03/20/2023,2022,N00045974
F10,Real Estate,207151,0,207151,03/20/2023,2022,N00045974
F07,Securities & Investment,134028,0,134028,03/20/2023,2022,N00045974
E01,Oil & Gas,91014,6000,97014,03/20/2023,2022,N00045974
Q03,Leadership PACs,0,88900,88900,03/20/2023,2022,N00045974
K01,Lawyers/Law Firms,80805,0,80805,03/20/2023,2022,N00045974
Q13,Gun Rights,60198,8000,68198,03/20/2023,2022,N00045974
A06,Livestock,59356,0,59356,03/20/2023,2022,N00045974
H01,Health Professionals,50143,0,50143,03/20/2023,2022,N00045974
W06,Retired,145575,0,145575,03/20/2023,2022,N00029662
Q01,Republican/Conservative,64934,11000,75934,03/20/2023,2022,N00029662
H01,Health Professionals,36975,36500,73475,03/20/2023,2022,N00029662
F10,Real Estate,45800,22500,68300,03/20/2023,2022,N00029662
D02,Defense Electronics,26000,21000,47000,03/20/2023,2022,N00029662
M01,Air Transport,0,30900,30900,03/20/2023,2022,N00029662
F03,Commercial Banks,2550,24000,26550,03/20/2023,2022,N00029662
Q03,Leadership PACs,0,25275,25275,03/20/2023,2022,N00029662
F09,Insurance,7400,15500,22900,03/20/2023,2022,N00029662
K01,Lawyers/Law Firms,11100,8000,19100,03/20/2023,2022,N00029662
F09,Insurance,1000,162500,163500,03/20/2023,2022,N00026790
F10,Real Estate,42775,87000,129775,03/20/2023,2022,N00026790
F03,Commercial Banks,0,82000,82000,03/20/2023,2022,N00026790
F07,Securities & Investment,7275,62500,69775,03/20/2023,2022,N00026790
P01,Building Trade Unions,250,53500,53750,03/20/2023,2022,N00026790
P02,Industrial Unions,0,47900,47900,03/20/2023,2022,N00026790
P04,Public Sector Unions,0,44500,44500,03/20/2023,2022,N00026790
W06,Retired,43126,0,43126,03/20/2023,2022,N00026790
K01,Lawyers/Law Firms,16200,21000,37200,03/20/2023,2022,N00026790
F13,Misc Finance,250,35300,35550,03/20/2023,2022,N00026790
W06,Retired,675993,0,675993,03/20/2023,2022,N00048049
Q03,Leadership PACs,0,460300,460300,03/20/2023,2022,N00048049
F07,Securities & Investment,237015,0,237015,03/20/2023,2022,N00048049
F10,Real Estate,221867,0,221867,03/20/2023,2022,N00048049
E01,Oil & Gas,114191,19500,133691,03/20/2023,2022,N00048049
Q01,Republican/Conservative,31772,30667,62439,03/20/2023,2022,N00048049
Q16,Candidate Committees,0,58600,58600,03/20/2023,2022,N00048049
K01,Lawyers/Law Firms,46536,0,46536,03/20/2023,2022,N00048049
F09,Insurance,34973,10000,44973,03/20/2023,2022,N00048049
N15,Misc Manufacturing & Distributing,39324,3000,42324,03/20/2023,2022,N00048049
Q03,Leadership PACs,0,132400,132400,03/20/2023,2022,N00035934
F07,Securities & Investment,103785,7500,111285,03/20/2023,2022,N00035934
F09,Insurance,11400,56500,67900,03/20/2023,2022,N00035934
F10,Real Estate,36197,21000,57197,03/20/2023,2022,N00035934
W06,Retired,56546,0,56546,03/20/2023,2022,N00035934
K02,Lobbyists,54900,1000,55900,03/20/2023,2022,N00035934
Q05,Pro-Israel,43025,-1500,41525,03/20/2023,2022,N00035934
H01,Health Professionals,7350,32000,39350,03/20/2023,2022,N00035934
C05,Building Materials & Equipment,6300,31500,37800,03/20/2023,2022,N00035934
M01,Air Transport,1000,35500,36500,03/20/2023,2022,N00035934
E01,Oil & Gas,157890,190500,348390,03/20/2023,2022,N00033410
W06,Retired,206584,0,206584,03/20/2023,2022,N00033410
Q03,Leadership PACs,0,189600,189600,03/20/2023,2022,N00033410
H01,Health Professionals,71070,106000,177070,03/20/2023,2022,N00033410
K02,Lobbyists,170655,1000,171655,03/20/2023,2022,N00033410
M02,Automotive,52197,77500,129697,03/20/2023,2022,N00033410
F03,Commercial Banks,110520,13500,124020,03/20/2023,2022,N00033410
H04,Pharmaceuticals/Health Products,23260,100203,123463,03/20/2023,2022,N00033410
F10,Real Estate,77419,27500,104919,03/20/2023,2022,N00033410
H03,Health Services/HMOs,25910,76500,102410,03/20/2023,2022,N00033410
W06,Retired,112528,0,112528,03/20/2023,2022,N00027459
H01,Health Professionals,2260,100500,102760,03/20/2023,2022,N00027459
B09,Telecom Services,14500,80900,95400,03/20/2023,2022,N00027459
K01,Lawyers/Law Firms,40850,36250,77100,03/20/2023,2022,N00027459
B12,Electronics Mfg & Equip,3000,70000,73000,03/20/2023,2022,N00027459
K02,Lobbyists,51405,1000,52405,03/20/2023,2022,N00027459
E08,Electric Utilities,2800,40999,43799,03/20/2023,2022,N00027459
F10,Real Estate,26900,16500,43400,03/20/2023,2022,N00027459
H04,Pharmaceuticals/Health Products,2500,38500,41000,03/20/2023,2022,N00027459
H03,Health Services/HMOs,2900,33400,36300,03/20/2023,2022,N00027459
K01,Lawyers/Law Firms,76466,28550,105016,03/20/2023,2022,N00003288
P04,Public Sector Unions,240,60000,60240,03/20/2023,2022,N00003288
P03,Transportation Unions,0,55500,55500,03/20/2023,2022,N00003288
E08,Electric Utilities,836,53000,53836,03/20/2023,2022,N00003288
P01,Building Trade Unions,0,50500,50500,03/20/2023,2022,N00003288
W06,Retired,50239,0,50239,03/20/2023,2022,N00003288
M01,Air Transport,5378,42500,47878,03/20/2023,2022,N00003288
A01,Crop Production & Basic Processing,7630,39000,46630,03/20/2023,2022,N00003288
P02,Industrial Unions,0,42000,42000,03/20/2023,2022,N00003288
K02,Lobbyists,40402,1000,41402,03/20/2023,2022,N00003288
H01,Health Professionals,61750,262250,324000,03/20/2023,2022,N00000781
H04,Pharmaceuticals/Health Products,7660,191800,199460,03/20/2023,2022,N00000781
E08,Electric Utilities,1500,187000,188500,03/20/2023,2022,N00000781
K02,Lobbyists,172950,7600,180550,03/20/2023,2022,N00000781
K01,Lawyers/Law Firms,77275,87750,165025,03/20/2023,2022,N00000781
H03,Health Services/HMOs,10100,139500,149600,03/20/2023,2022,N00000781
B09,Telecom Services,36900,91000,127900,03/20/2023,2022,N00000781
F10,Real Estate,59350,33500,92850,03/20/2023,2022,N00000781
H02,Hospitals/Nursing Homes,42950,41500,84450,03/20/2023,2022,N00000781
F09,Insurance,10575,72000,82575,03/20/2023,2022,N00000781
Q03,Leadership PACs,0,62000,62000,03/20/2023,2022,N00030642
F09,Insurance,2000,57000,59000,03/20/2023,2022,N00030642
F03,Commercial Banks,0,41000,41000,03/20/2023,2022,N00030642
F10,Real Estate,5800,32500,38300,03/20/2023,2022,N00030642
P04,Public Sector Unions,0,38000,38000,03/20/2023,2022,N00030642
W06,Retired,31597,0,31597,03/20/2023,2022,N00030642
F07,Securities & Investment,2850,25500,28350,03/20/2023,2022,N00030642
K01,Lawyers/Law Firms,16950,11000,27950,03/20/2023,2022,N00030642
F06,Finance/Credit Companies,11000,14500,25500,03/20/2023,2022,N00030642
P01,Building Trade Unions,0,25000,25000,03/20/2023,2022,N00030642
W06,Retired,3220610,0,3220610,03/20/2023,2022,N00033363
F07,Securities & Investment,1780691,105700,1886391,03/20/2023,2022,N00033363
Q01,Republican/Conservative,1185400,28350,1213750,03/20/2023,2022,N00033363
F10,Real Estate,709313,41000,750313,03/20/2023,2022,N00033363
K01,Lawyers/Law Firms,421892,49500,471392,03/20/2023,2022,N00033363
Q03,Leadership PACs,8500,359000,367500,03/20/2023,2022,N00033363
H01,Health Professionals,307106,13000,320106,03/20/2023,2022,N00033363
E01,Oil & Gas,220934,68000,288934,03/20/2023,2022,N00033363
F03,Commercial Banks,143568,127500,271068,03/20/2023,2022,N00033363
F09,Insurance,105400,149000,254400,03/20/2023,2022,N00033363
H01,Health Professionals,4110,68500,72610,03/20/2023,2022,N00026961
P04,Public Sector Unions,1350,44000,45350,03/20/2023,2022,N00026961
Q05,Pro-Israel,26731,11000,37731,03/20/2023,2022,N00026961
F10,Real Estate,1250,32500,33750,03/20/2023,2022,N00026961
H04,Pharmaceuticals/Health Products,250,32500,32750,03/20/2023,2022,N00026961
Q03,Leadership PACs,0,29800,29800,03/20/2023,2022,N00026961
K02,Lobbyists,27800,1000,28800,03/20/2023,2022,N00026961
B09,Telecom Services,0,28500,28500,03/20/2023,2022,N00026961
E08,Electric Utilities,850,27500,28350,03/20/2023,2022,N00026961
H03,Health Services/HMOs,14250,12500,26750,03/20/2023,2022,N00026961
Q16,Candidate Committees,0,7000,7000,03/20/2023,2022,N00032243
Q01,Republican/Conservative,750,5000,5750,03/20/2023,2022,N00032243
Q03,Leadership PACs,0,3000,3000,03/20/2023,2022,N00032243
F03,Commercial Banks,2900,0,2900,03/20/2023,2022,N00032243
W06,Retired,2300,0,2300,03/20/2023,2022,N00032243
N15,Misc Manufacturing & Distributing,2900,-1000,1900,03/20/2023,2022,N00032243
M01,Air Transport,2800,-2000,800,03/20/2023,2022,N00032243
W03,Civil Servants/Public Officials,500,0,500,03/20/2023,2022,N00032243
W06,Retired,865106,0,865106,03/20/2023,2022,N00049197
Q01,Republican/Conservative,490079,48250,538329,03/20/2023,2022,N00049197
F10,Real Estate,158474,0,158474,03/20/2023,2022,N00049197
Q03,Leadership PACs,0,121200,121200,03/20/2023,2022,N00049197
F07,Securities & Investment,105921,0,105921,03/20/2023,2022,N00049197
A06,Livestock,93961,0,93961,03/20/2023,2022,N00049197
E01,Oil & Gas,50500,18400,68900,03/20/2023,2022,N00049197
H01,Health Professionals,54329,0,54329,03/20/2023,2022,N00049197
F13,Misc Finance,40805,0,40805,03/20/2023,2022,N00049197
K01,Lawyers/Law Firms,35953,2500,38453,03/20/2023,2022,N00049197
W04,Education,398188,1000,399188,03/20/2023,2022,N00029139
W06,Retired,314440,0,314440,03/20/2023,2022,N00029139
F07,Securities & Investment,125950,150000,275950,03/20/2023,2022,N00029139
Q03,Leadership PACs,11200,226202,237402,03/20/2023,2022,N00029139
K01,Lawyers/Law Firms,179955,18750,198705,03/20/2023,2022,N00029139
Q02,Democratic/Liberal,95275,47000,142275,03/20/2023,2022,N00029139
F09,Insurance,4610,125500,130110,03/20/2023,2022,N00029139
F03,Commercial Banks,5025,120000,125025,03/20/2023,2022,N00029139
F10,Real Estate,46879,54000,100879,03/20/2023,2022,N00029139
W03,Civil Servants/Public Officials,92750,0,92750,03/20/2023,2022,N00029139
W06,Retired,3756614,0,3756614,03/20/2023,2022,N00035504
F07,Securities & Investment,805370,0,805370,03/20/2023,2022,N00035504
K01,Lawyers/Law Firms,571539,0,571539,03/20/2023,2022,N00035504
F10,Real Estate,467846,0,467846,03/20/2023,2022,N00035504
W04,Education,225247,0,225247,03/20/2023,2022,N00035504
K02,Lobbyists,206660,0,206660,03/20/2023,2022,N00035504
Q01,Republican/Conservative,194521,0,194521,03/20/2023,2022,N00035504
N05,Business Services,186730,0,186730,03/20/2023,2022,N00035504
H01,Health Professionals,161907,2500,164407,03/20/2023,2022,N00035504
F13,Misc Finance,154373,0,154373,03/20/2023,2022,N00035504
M06,Misc Transport,126650,3500,130150,03/20/2023,2022,N00051733
W06,Retired,110271,0,110271,03/20/2023,2022,N00051733
Q03,Leadership PACs,0,98700,98700,03/20/2023,2022,N00051733
F10,Real Estate,49501,7000,56501,03/20/2023,2022,N00051733
K01,Lawyers/Law Firms,41405,0,41405,03/20/2023,2022,N00051733
A05,Poultry & Eggs,34800,0,34800,03/20/2023,2022,N00051733
Q05,Pro-Israel,17650,10000,27650,03/20/2023,2022,N00051733
Q16,Candidate Committees,0,26000,26000,03/20/2023,2022,N00051733
M02,Automotive,7050,16000,23050,03/20/2023,2022,N00051733
F03,Commercial Banks,12600,9500,22100,03/20/2023,2022,N00051733
W06,Retired,173533,0,173533,03/20/2023,2022,N00042808
Q01,Republican/Conservative,105604,11500,117104,03/20/2023,2022,N00042808
A01,Crop Production & Basic Processing,37220,39000,76220,03/20/2023,2022,N00042808
H01,Health Professionals,24945,43000,67945,03/20/2023,2022,N00042808
K02,Lobbyists,64250,1500,65750,03/20/2023,2022,N00042808
Q03,Leadership PACs,0,59000,59000,03/20/2023,2022,N00042808
F10,Real Estate,32437,22500,54937,03/20/2023,2022,N00042808
F09,Insurance,4850,37000,41850,03/20/2023,2022,N00042808
Q05,Pro-Israel,25105,11000,36105,03/20/2023,2022,N00042808
K01,Lawyers/Law Firms,26675,8000,34675,03/20/2023,2022,N00042808
K01,Lawyers/Law Firms,109570,42750,152320,03/20/2023,2022,N00033997
W06,Retired,138068,0,138068,03/20/2023,2022,N00033997
Q10,Misc Issues,96750,24150,120900,03/20/2023,2022,N00033997
Q05,Pro-Israel,104800,11400,116200,03/20/2023,2022,N00033997
D03,Misc Defense,20700,88000,108700,03/20/2023,2022,N00033997
F10,Real Estate,60693,47500,108193,03/20/2023,2022,N00033997
F09,Insurance,7815,94000,101815,03/20/2023,2022,N00033997
F07,Securities & Investment,54599,39500,94099,03/20/2023,2022,N00033997
K02,Lobbyists,85800,2000,87800,03/20/2023,2022,N00033997
H01,Health Professionals,31271,43500,74771,03/20/2023,2022,N00033997
F07,Securities & Investment,2775398,331000,3106398,03/20/2023,2022,N00033983
W06,Retired,2582038,0,2582038,03/20/2023,2022,N00033983
K01,Lawyers/Law Firms,1764087,115250,1879337,03/20/2023,2022,N00033983
Q02,Democratic/Liberal,1728407,48579,1776986,03/20/2023,2022,N00033983
F10,Real Estate,1257600,150400,1408000,03/20/2023,2022,N00033983
Q08,Women's Issues,798958,57522,856480,03/20/2023,2022,N00033983
W04,Education,775296,4500,779796,03/20/2023,2022,N00033983
H01,Health Professionals,606741,150500,757241,03/20/2023,2022,N00033983
F09,Insurance,262753,447950,710703,03/20/2023,2022,N00033983
K02,Lobbyists,638652,3500,642152,03/20/2023,2022,N00033983
H01,Health Professionals,12950,89500,102450,03/20/2023,2022,N00027060
F09,Insurance,13100,84400,97500,03/20/2023,2022,N00027060
F10,Real Estate,33613,54500,88113,03/20/2023,2022,N00027060
F07,Securities & Investment,18000,54250,72250,03/20/2023,2022,N00027060
F13,Misc Finance,25050,37500,62550,03/20/2023,2022,N00027060
P01,Building Trade Unions,0,61000,61000,03/20/2023,2022,N00027060
P04,Public Sector Unions,0,47500,47500,03/20/2023,2022,N00027060
K01,Lawyers/Law Firms,28035,15500,43535,03/20/2023,2022,N00027060
C01,General Contractors,37700,5000,42700,03/20/2023,2022,N00027060
P03,Transportation Unions,0,41500,41500,03/20/2023,2022,N00027060
W06,Retired,535689,0,535689,03/20/2023,2022,N00037515
Q03,Leadership PACs,21810,280201,302011,03/20/2023,2022,N00037515
Q02,Democratic/Liberal,205911,51000,256911,03/20/2023,2022,N00037515
F07,Securities & Investment,167967,14000,181967,03/20/2023,2022,N00037515
K01,Lawyers/Law Firms,126878,25250,152128,03/20/2023,2022,N00037515
H01,Health Professionals,51554,89500,141054,03/20/2023,2022,N00037515
Q16,Candidate Committees,0,117773,117773,03/20/2023,2022,N00037515
F10,Real Estate,85692,28000,113692,03/20/2023,2022,N00037515
H03,Health Services/HMOs,22540,83500,106040,03/20/2023,2022,N00037515
Q10,Misc Issues,81600,8725,90325,03/20/2023,2022,N00037515
W06,Retired,625917,0,625917,03/20/2023,2022,N00042161
Q03,Leadership PACs,51185,363703,414888,03/20/2023,2022,N00042161
Q02,Democratic/Liberal,308630,75884,384514,03/20/2023,2022,N00042161
F07,Securities & Investment,371517,0,371517,03/20/2023,2022,N00042161
F10,Real Estate,153090,29500,182590,03/20/2023,2022,N00042161
K01,Lawyers/Law Firms,138793,18000,156793,03/20/2023,2022,N00042161
Q16,Candidate Committees,4501,140932,145433,03/20/2023,2022,N00042161
W04,Education,118510,0,118510,03/20/2023,2022,N00042161
Q05,Pro-Israel,102548,14700,117248,03/20/2023,2022,N00042161
H01,Health Professionals,73442,41000,114442,03/20/2023,2022,N00042161
Q01,Republican/Conservative,509332,26950,536282,03/20/2023,2022,N00041454
W06,Retired,417518,0,417518,03/20/2023,2022,N00041454
Q03,Leadership PACs,0,290900,290900,03/20/2023,2022,N00041454
E01,Oil & Gas,154965,125400,280365,03/20/2023,2022,N00041454
F07,Securities & Investment,134238,0,134238,03/20/2023,2022,N00041454
F10,Real Estate,93326,6000,99326,03/20/2023,2022,N00041454
Q16,Candidate Committees,0,70000,70000,03/20/2023,2022,N00041454
A01,Crop Production & Basic Processing,35532,26500,62032,03/20/2023,2022,N00041454
A06,Livestock,49942,5500,55442,03/20/2023,2022,N00041454
Q05,Pro-Israel,28801,15400,44201,03/20/2023,2022,N00041454
Q01,Republican/Conservative,145255,3500,148755,03/20/2023,2022,N00041871
W06,Retired,107927,0,107927,03/20/2023,2022,N00041871
F10,Real Estate,18342,47000,65342,03/20/2023,2022,N00041871
E01,Oil & Gas,9640,49500,59140,03/20/2023,2022,N00041871
F09,Insurance,9200,37500,46700,03/20/2023,2022,N00041871
Q03,Leadership PACs,0,45000,45000,03/20/2023,2022,N00041871
Q05,Pro-Israel,36700,2100,38800,03/20/2023,2022,N00041871
M01,Air Transport,1312,35000,36312,03/20/2023,2022,N00041871
K02,Lobbyists,29800,4500,34300,03/20/2023,2022,N00041871
H01,Health Professionals,10047,22500,32547,03/20/2023,2022,N00041871
W06,Retired,229140,0,229140,03/20/2023,2022,N00036409
F09,Insurance,26860,28757,55617,03/20/2023,2022,N00036409
N15,Misc Manufacturing & Distributing,37700,12000,49700,03/20/2023,2022,N00036409
F10,Real Estate,30740,6000,36740,03/20/2023,2022,N00036409
Q03,Leadership PACs,0,36000,36000,03/20/2023,2022,N00036409
Q01,Republican/Conservative,28044,0,28044,03/20/2023,2022,N00036409
A01,Crop Production & Basic Processing,8275,16000,24275,03/20/2023,2022,N00036409
H01,Health Professionals,12668,9000,21668,03/20/2023,2022,N00036409
C05,Building Materials & Equipment,14100,6000,20100,03/20/2023,2022,N00036409
Q05,Pro-Israel,8500,10500,19000,03/20/2023,2022,N00036409
W06,Retired,166950,0,166950,03/20/2023,2022,N00046688
H01,Health Professionals,48075,69499,117574,03/20/2023,2022,N00046688
Q03,Leadership PACs,0,71650,71650,03/20/2023,2022,N00046688
Q01,Republican/Conservative,38609,14750,53359,03/20/2023,2022,N00046688
N03,Retail Sales,17130,27000,44130,03/20/2023,2022,N00046688
M02,Automotive,14376,24000,38376,03/20/2023,2022,N00046688
K01,Lawyers/Law Firms,24640,9500,34140,03/20/2023,2022,N00046688
K02,Lobbyists,31761,1000,32761,03/20/2023,2022,N00046688
H02,Hospitals/Nursing Homes,8750,20000,28750,03/20/2023,2022,N00046688
H04,Pharmaceuticals/Health Products,13450,15000,28450,03/20/2023,2022,N00046688
F09,Insurance,300,69500,69800,03/20/2023,2022,N00027510
F03,Commercial Banks,3250,60500,63750,03/20/2023,2022,N00027510
F10,Real Estate,10550,51000,61550,03/20/2023,2022,N00027510
F07,Securities & Investment,5800,48500,54300,03/20/2023,2022,N00027510
K01,Lawyers/Law Firms,22900,5500,28400,03/20/2023,2022,N00027510
W06,Retired,27200,0,27200,03/20/2023,2022,N00027510
F06,Finance/Credit Companies,4400,21000,25400,03/20/2023,2022,N00027510
Q03,Leadership PACs,1000,19000,20000,03/20/2023,2022,N00027510
P04,Public Sector Unions,0,19500,19500,03/20/2023,2022,N00027510
Q16,Candidate Committees,2000,15000,17000,03/20/2023,2022,N00027510
K02,Lobbyists,58450,0,58450,03/20/2023,2022,N00003473
D03,Misc Defense,11550,30000,41550,03/20/2023,2022,N00003473
W06,Retired,41300,0,41300,03/20/2023,2022,N00003473
K01,Lawyers/Law Firms,23800,16500,40300,03/20/2023,2022,N00003473
Q03,Leadership PACs,0,35500,35500,03/20/2023,2022,N00003473
F10,Real Estate,18850,13000,31850,03/20/2023,2022,N00003473
D02,Defense Electronics,7800,20000,27800,03/20/2023,2022,N00003473
A01,Crop Production & Basic Processing,2200,23000,25200,03/20/2023,2022,N00003473
N15,Misc Manufacturing & Distributing,0,24000,24000,03/20/2023,2022,N00003473
M01,Air Transport,0,21000,21000,03/20/2023,2022,N00003473
W06,Retired,6601127,0,6601127,03/20/2023,2022,N00038397
K01,Lawyers/Law Firms,1918131,124500,2042631,03/20/2023,2022,N00038397
F07,Securities & Investment,1701125,182250,1883375,03/20/2023,2022,N00038397
Q02,Democratic/Liberal,1224770,93170,1317940,03/20/2023,2022,N00038397
W04,Education,1314068,0,1314068,03/20/2023,2022,N00038397
Q08,Women's Issues,1196226,47205,1243431,03/20/2023,2022,N00038397
H01,Health Professionals,642405,280300,922705,03/20/2023,2022,N00038397
F10,Real Estate,695423,93000,788423,03/20/2023,2022,N00038397
N05,Business Services,615543,12500,628043,03/20/2023,2022,N00038397
Q03,Leadership PACs,5900,559300,565200,03/20/2023,2022,N00038397
W06,Retired,859459,0,859459,03/20/2023,2022,N00041668
F07,Securities & Investment,627045,2000,629045,03/20/2023,2022,N00041668
Q03,Leadership PACs,52612,260900,313512,03/20/2023,2022,N00041668
Q02,Democratic/Liberal,202494,42312,244806,03/20/2023,2022,N00041668
K01,Lawyers/Law Firms,216868,21000,237868,03/20/2023,2022,N00041668
F10,Real Estate,188051,16500,204551,03/20/2023,2022,N00041668
W04,Education,119387,0,119387,03/20/2023,2022,N00041668
H01,Health Professionals,104905,10000,114905,03/20/2023,2022,N00041668
W02,Non-Profit Institutions,104638,0,104638,03/20/2023,2022,N00041668
Q16,Candidate Committees,0,102001,102001,03/20/2023,2022,N00041668
W06,Retired,664776,0,664776,03/20/2023,2022,N00035670
Q01,Republican/Conservative,489731,29750,519481,03/20/2023,2022,N00035670
F07,Securities & Investment,306981,25000,331981,03/20/2023,2022,N00035670
