cid,firstlast,lastname,party,office,gender,first_elected,exit_code,comments,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate,state
N00032838,Joe Manchin,Manchin,D,WVS1,M,2010,4,Retiring at end of 118th Congress,202-224-3954,202-228-0002,https://www.manchin.senate.gov/public,http://www.manchin.senate.gov/public/index.cfm/contact-form,306 Hart Senate Office Building,M001183,7547,S0WV00090,Sen_JoeManchin,https://youtube.com/SenatorJoeManchin,JoeManchinIII,1947-08-24,WV
N00009771,Shelley Moore Capito,Capito,R,WVS2,F,2014,0,,202-224-6472,202-225-7856,https://www.capito.senate.gov,https://www.capito.senate.gov/contact/contact-shelley,172 Russell Senate Office Building,C001047,11701,H0WV02138,SenCapito,https://youtube.com/UCbiXdR4XQ3vD9Xp5lfR9QXw,senshelley,1953-11-26,WV
N00044245,Jerry Carl,Carl,R,AL01,M,2020,0,,202225-4931,202225-0562,https://carl.house.gov/,,"1330 Longworth House Office Building, Washington, DC 20515",C001054,,,@RepJerryCarl,,RepJerryCarl,06/17/58,AL
N00041295,Barry Moore,Moore,R,AL02,M,2020,0,,202225-2901,,https://barrymoore.house.gov/,,"1504 Longworth House Office Building, Washington, DC 20515",M001212,,,@RepBarryMoore,,,09/02/66,AL
N00024759,Mike D Rogers,Rogers,R,AL03,M,2002,0,,202-225-3261,202-226-8485,https://mikerogers.house.gov,http://mike-rogers.house.gov/contact-mike/email-me,2184 Rayburn House Office Building,R000575,5705,H2AL03032,RepMikeRogersAL,https://youtube.com/MikeRogersAL03,CongressmanMikeDRogers,1958-07-16,AL
N00003028,Robert B Aderholt,Aderholt,R,AL04,M,1996,0,,202-225-4876,202-225-5587,https://aderholt.house.gov,http://aderholt.house.gov/email-me2/,235 Cannon House Office Building,A000055,441,H6AL04098,Robert_Aderholt,https://youtube.com/RobertAderholt,RobertAderholt,1965-07-22,AL
N00048145,Dale Strong,Strong,R,AL05,M,2022,0,,,,,,,S001220,,H2AL05102,,,,,AL
N00035691,Gary Palmer,Palmer,R,AL06,M,2014,0,,202-225-4921,202-225-2082,https://palmer.house.gov,,330 Cannon House Office Building,P000609,,H4AL06098,USRepGaryPalmer,,CongressmanGaryPalmer,1954-05-14,AL
N00030622,Terri Sewell,Sewell,D,AL07,F,2010,0,,202-225-2665,202-226-9567,https://sewell.house.gov,https://sewell.house.gov/email-me,2201 Rayburn House Office Building,S001185,121621,H0AL07086,RepTerriSewell,https://youtube.com/RepSewell,RepSewell,1965-01-01,AL
N00044434,Tommy Tuberville,Tuberville,R,ALS1,M,2020,0,,202224-4124,,https://www.tuberville.senate.gov/,,"Dirksen Senate Office Building Suite B40A   Washington, DC 20510",T000278,188306,,@SenTuberville,,,09/18/54,AL
N00048812,Katie Britt,Britt,R,ALS2,F,2022,0,,,,,,,B001319,,S2AL00145,,,,,AL
N00049636,Don Davis,Davis,D,NC01,M,2022,0,,,,,,,D000230,,H2NC02287,,,,,NC
N00038565,Deborah Ross,Ross,D,NC02,F,2020,0,,202225-3032,202225-0181,https://ross.house.gov/,,"1208 Longworth House Office Building Washington, DC  20515",R000305,,,@RepDeborahRoss,,,06/20/63,NC
N00044027,Greg Murphy,Murphy,R,NC03,M,2019,0,,,,,,,,,,,,,,NC
N00049652,Valerie Foushee,Foushee,D,NC04,F,2022,0,,,,,,,F000477,,H2NC06114,,,,,NC
N00026166,Virginia Foxx,Foxx,R,NC05,F,2004,0,,202-225-2071,202-225-2995,http://foxx.house.gov,https://foxx.house.gov/forms/writeyourrep/?zip5=&zip4=,2262 Rayburn House Office Building,F000450,6051,H4NC05146,VirginiaFoxx,https://youtube.com/repvirginiafoxx,RepVirginiaFoxx,1943-06-29,NC
N00042159,Kathy Manning,Manning,D,NC06,F,2020,0,,202225-3065,202225-8611,https://manning.house.gov/,,"415 Cannon House Office Building Washington, DC  20515",M001135,,,@RepKManning,,,12/03/56,NC
N00033527,David Rouzer,Rouzer,R,NC07,M,2014,0,,202-225-2731,202-225-5773,https://rouzer.house.gov,,424 Cannon House Office Building,R000603,,H2NC07096,RepDavidRouzer,,RepRouzer,1972-02-16,NC
N00044335,Dan Bishop,Bishop,R,NC08,M,2019,3,Running for NC Attorney General,,,,,,,,,,,,,NC
N00033630,Richard Hudson,Hudson,R,NC09,M,2012,0,,202-225-3715,704-782-1004,https://hudson.house.gov,https://hudson.house.gov/email-me,429 Cannon House Office Building,H001067,136448,H2NC08185,RepRichHudson,https://youtube.com/RepRichHudson,RepRichHudson,1971-11-04,NC
N00026627,Patrick McHenry,Mchenry,R,NC10,M,2004,0,,202-225-2576,202-225-0316,http://mchenry.house.gov,http://mchenry.house.gov/contact/zipauth.htm,2334 Rayburn House Office Building,M001156,21031,H4NC10047,PatrickMcHenry,https://youtube.com/CongressmanMcHenry,CongressmanMcHenry,1975-10-22,NC
N00049670,Chuck Edwards,Edwards,R,NC11,M,2022,0,,,,,,,E000246,,H2NC14050,,,,,NC
N00035451,Alma Adams,Adams,D,NC12,F,2014,0,,202-225-1510,202-225-1512,http://adams.house.gov,http://adams.house.gov/contact,222 Cannon House Office Building,A000370,,H4NC12100,RepAdams,,CongresswomanAdams,1946-05-27,NC
N00049133,Wiley Nickel,Nickel,D,NC13,M,2022,0,,,,,,,N000194,,H2NC14019,,,,,NC
N00050407,Jeff Jackson,Jackson,D,NC14,M,2022,3,Running for NC Attorney General,,,,,,J000308,,H2NC14076,,,,,NC
N00035492,Thom Tillis,Tillis,R,NCS1,M,2014,0,,202-224-6342,,https://www.tillis.senate.gov/public,https://www.tillis.senate.gov/public/index.cfm/email-me,185 Dirksen Senate Office Building,T000476,,S4NC00162,senthomtillis,,SenatorThomTillis,1960-08-30,NC
N00039551,Ted Budd,Budd,R,NCS2,M,2022,0,,202-225-4531,,https://budd.house.gov,,118 Cannon House Office Building,B001305,,S2NC00505,RepTedBudd,,RepTedBudd,1971-10-21,NC
N00039373,Cori Bush,Bush,D,MO01,F,2020,0,,202225-2406,202226-3717,https://bush.house.gov/,,563 Cannon House Office Building,B001224,,,@RepCori,,RepCori,07/21/76,MO
N00033106,Ann Wagner,Wagner,R,MO02,F,2012,0,,202-225-1621,202-225-2563,http://wagner.house.gov,https://wagner.house.gov/contact/email-me,435 Cannon House Office Building,W000812,136083,H2MO02102,RepAnnWagner,,RepAnnWagner,1962-09-13,MO
N00030026,Blaine Luetkemeyer,Luetkemeyer,R,MO03,M,2008,0,,202-225-2956,202-225-5712,http://luetkemeyer.house.gov,https://luetkemeyer.house.gov/forms/writeyourrep/,2230 Rayburn House Office Building,L000569,20400,H8MO09153,RepBlainePress,https://youtube.com/BLuetkemeyer,BlaineLuetkemeyer,1952-05-07,MO
N00049617,Mark Alford,Alford,R,MO04,M,2022,0,,,,,,,A000379,,H2MO04207,,,,,MO
N00026790,Emanuel Cleaver,Cleaver,D,MO05,M,2004,0,,202-225-4535,202-225-4403,http://cleaver.house.gov,https://cleaver.house.gov/contact/email-me,2335 Rayburn House Office Building,C001061,39507,H4MO05234,RepCleaver,https://youtube.com/repcleaver,emanuelcleaverii,1944-10-26,MO
N00013323,Sam Graves,Graves,R,MO06,M,2000,0,,202-225-7041,202-225-8221,https://graves.house.gov,https://gravesforms.house.gov/email-sam,1135 Longworth House Office Building,G000546,9425,H0MO06073,RepSamGraves,,118514606128,1963-11-07,MO
N00049123,Eric Burlison,Burlison,R,MO07,M,2022,0,,,,,,,B001316,,H2MO07143,,,,,MO
N00035282,Jason Smith,Smith,R,MO08,M,2013,0,,202-225-4404,202-226-0326,https://jasonsmith.house.gov,https://jasonsmith.house.gov/contact/email-me,1118 Longworth House Office Building,S001195,59318,H4MO08162,RepJasonSmith,https://youtube.com/RepJasonSmith,repjasonsmith,1980-06-16,MO
N00048414,Eric Schmitt,Schmitt,R,MOS1,M,2022,0,,,,,,,S001227,,S2MO00544,,,,,MO
N00041620,Josh Hawley,Hawley,R,MOS2,M,2018,0,,202-224-6154,,https://www.hawley.senate.gov,,B40a Dirksen Senate Office Building,H001089,,S8MO00160,,,,1979-12-31,MO
N00030191,Dina Titus,Titus,D,NV01,F,2012,0,,202-225-5965,,https://titus.house.gov,https://titus.house.gov/contact/email-me,2464 Rayburn House Office Building,T000468,2629,H8NV03036,RepDinaTitus,https://youtube.com/CongresswomanTitus,CongresswomanTitus,1950-05-23,NV
N00031177,Mark Amodei,Amodei,R,NV02,M,2011,0,,202-225-6155,202-225-5679,https://amodei.house.gov,https://amodei.house.gov/contact-us,332 Cannon House Office Building,A000369,12537,H2NV02395,MarkAmodeiNV2,https://youtube.com/markamodeinv2,MarkAmodeiNV2,1958-06-12,NV
N00037247,Susie Lee,Lee,D,NV03,F,2018,0,,202-225-3252,,https://susielee.house.gov/,,522 Cannon House Office Building,L000590,,H6NV04020,RepSusieLee,,,1966-11-07,NV
N00033638,Steven Horsford,Horsford,D,NV04,M,2018,0,,202-225-9894,,http://horsford.house.gov,,1330 Longworth House Office Building,H001066,,H2NV04011,RepHorsford,,,1973-04-29,NV
N00038734,Jacky Rosen,Rosen,D,NVS1,F,2018,0,,202-225-3252,,https://rosen.house.gov,,413 Cannon House Office Building,R000608,,S8NV00156,RepJackyRosen,,RepJackyRosen,1957-08-02,NV
N00037161,Catherine Cortez Masto,Masto,D,NVS2,F,2016,0,,202-224-3542,,https://www.cortezmasto.senate.gov,https://www.cortezmasto.senate.gov/content/contact-senator,B40a Dirksen Senate Office Building,C001113,,S6NV00200,sencortezmasto,,SenatorCortezMasto,1964-03-29,NV
N00033474,Suzanne Bonamici,Bonamici,D,OR01,F,2012,0,,202-225-0855,202-225-9497,http://bonamici.house.gov,https://bonamici.house.gov/contact-me/email-me,439 Cannon House Office Building,B001278,59641,H2OR01133,RepBonamici,https://youtube.com/RepSuzanneBonamici,congresswomanbonamici,1954-10-14,OR
N00045773,Cliff Bentz,Bentz,R,OR02,M,2020,0,,202225-6730,,https://bentz.house.gov/,,"1239 Longworth House Office Building Washington, DC  20515",B000668,,,@RepBentz,,,01/12/52,OR
N00007727,Earl Blumenauer,Blumenauer,D,OR03,M,1996,0,,202-225-4811,202-225-8941,https://blumenauer.house.gov,https://forms.house.gov/blumenauer/webforms/issue_subscribe.html,1111 Longworth House Office Building,B000574,367,H6OR03064,BlumenauerMedia,https://youtube.com/RepBlumenauer,blumenauer,1948-08-16,OR
N00049734,Val Hoyle,Hoyle,D,OR04,F,2022,0,,,,,,,H001094,,H2OR04095,,,,,OR
N00048900,Lori Chavez-Deremer,Chavez-Deremer,R,OR05,F,2022,0,,,,,,,C001135,,H2OR05209,,,,,OR
N00049738,Andrea Salinas,Salinas,D,OR06,F,2022,0,,,,,,,S001226,,H2OR06066,,,,,OR
N00029303,Jeff Merkley,Merkley,D,ORS1,M,2008,0,,202-224-3753,202-228-3997,https://www.merkley.senate.gov,http://www.merkley.senate.gov/contact/,313 Hart Senate Office Building,M001176,23644,S8OR00207,SenJeffMerkley,https://youtube.com/SenatorJeffMerkley,jeffmerkley,1956-10-24,OR
N00007724,Ron Wyden,Wyden,D,ORS2,M,1996,0,,202-224-5244,202-228-2717,https://www.wyden.senate.gov,https://www.wyden.senate.gov/contact/,221 Dirksen Senate Office Building,W000779,27036,S6OR00110,RonWyden,https://youtube.com/senronwyden,wyden,1949-05-03,OR
N00049775,Nathaniel Moran,Moran,R,TX01,M,2022,0,,,,,,,M001224,,H2TX01112,,,,,TX
N00042224,Dan Crenshaw,Crenshaw,R,TX02,M,2018,0,,202-225-6565,,https://crenshaw.house.gov/,,413 Cannon House Office Building,C001120,,H8TX02166,RepDanCrenshaw,,,1984-03-14,TX
N00049337,Keith Self,Self,R,TX03,M,2022,0,,,,,,,S001224,,H2TX03290,,,,,TX
N00047264,Patrick Fallon,Fallon,R,TX04,M,2020,0,,202225-6673,,https://fallon.house.gov/,,"1118 Longworth HOB Washington, DC  20515",F000246,,,@RepPatFallon,https://www.youtube.com/RepPatFallon,RepPatFallon,12/19/67,TX
N00042237,Lance Gooden,Gooden,R,TX05,M,2018,0,,202-225-3484,,https://gooden.house.gov/,,425 Cannon House Office Building,G000589,,H8TX05144,,,,1982-12-01,TX
N00042243,Jake Ellzey,Ellzey,R,TX06,M,2021,0,,,,,,,,,,,,,,TX
N00041194,Lizzie Fletcher,Fletcher,D,TX07,F,2018,0,,202-225-2571,,https://fletcher.house.gov/,,1429 Longworth House Office Building,F000468,,H8TX07140,RepFletcher,,,1975-02-13,TX
N00048776,Morgan Luttrell,Luttrell,R,TX08,M,2022,0,,,,,,,L000603,,H2TX08182,,,,,TX
N00026686,Al Green,Green,D,TX09,M,2004,0,,202-225-7508,202-225-2947,http://algreen.house.gov,https://algreen.house.gov/contact-me/email-me,2347 Rayburn House Office Building,G000553,49680,H4TX09095,RepAlGreen,https://youtube.com/RepAlGreen,repalgreen,1947-09-01,TX
N00026460,Michael McCaul,Mccaul,R,TX10,M,2004,0,,202-225-2401,202-225-5955,http://mccaul.house.gov,https://mccaul.house.gov/contact/email-me,2001 Rayburn House Office Building,M001157,49210,H4TX10093,RepMcCaul,https://youtube.com/MichaelTMcCaul,michaeltmccaul,1962-01-14,TX
N00045421,August Pfluger,Pfluger,R,TX11,M,2020,0,,202225-3605,,https://pfluger.house.gov/,,"1531 Longworth House Office Building, Washington, DC 20515",P000048,,,@RepPfluger,,,,TX
N00008799,Kay Granger,Granger,R,TX12,F,1996,4,Retiring at end of 118th Congress,202-225-5071,202-225-5683,http://kaygranger.house.gov,http://kaygranger.house.gov/contact-kay/email-me,1026 Longworth House Office Building,G000377,334,H6TX12060,RepKayGranger,https://youtube.com/RepKayGranger,RepKayGranger,1943-01-18,TX
N00046055,Ronny Jackson,Jackson,R,TX13,M,2020,0,,202225-3706,202225-3486,https://jackson.house.gov/,,"118 Cannon HOB Washington, DC 20515",J000304,,,@RepRonnyJackson,,,05/04/67,TX
N00033539,Randy Weber,Weber,R,TX14,M,2012,0,,202-225-2831,202-225-0271,http://weber.house.gov,https://weber.house.gov/contact/email-me,1708 Longworth House Office Building,W000814,102026,H2TX14149,TXRandy14,https://youtube.com/TXRandy14,TXRandy14,1953-07-02,TX
N00045793,Monica De La Cruz,De La Cruz,R,TX15,F,2022,0,,,,,,,D000594,,H0TX15124,,,,,TX
N00041702,Veronica Escobar,Escobar,D,TX16,F,2018,0,,202-225-4831,,https://escobar.house.gov/,,1505 Longworth House Office Building,E000299,,H8TX16109,RepEscobar,,,1969-09-15,TX
N00005681,Pete Sessions,Sessions,R,TX17,M,1996,0,,202-225-2231,202-225-5878,https://sessions.house.gov,https://sessions.house.gov/index.cfm/contact-form,2233 Rayburn House Office Building,S000250,288,H2TX03126,PeteSessions,https://youtube.com/PeteSessions,petesessions,1955-03-22,TX
N00005818,Sheila Jackson Lee,Jackson Lee,D,TX18,F,1994,0,,202-225-3816,202-225-3317,http://jacksonlee.house.gov,http://jacksonlee.house.gov/contact/,2187 Rayburn House Office Building,J000032,21692,H4TX18054,JacksonLeeTX18,https://youtube.com/TX18SJL,169479190984,1950-01-12,TX
N00038285,Jodey Arrington,Arrington,R,TX19,M,2016,0,,202-225-4005,,https://arrington.house.gov,,1029 Longworth House Office Building,A000375,,H6TX19099,RepArrington,,JodeyArrington,1972-03-09,TX
N00033316,Joaquin Castro,Castro,D,TX20,M,2012,0,,202-225-3236,202-225-1915,https://castro.house.gov,https://castro.house.gov/contact/email-me,1221 Longworth House Office Building,C001091,49227,H2TX35011,JoaquinCastrotx,https://youtube.com/JoaquinCastroTX,JoaquinCastroTX,1974-09-16,TX
N00042268,Chip Roy,Roy,R,TX21,M,2018,0,,202-225-4236,,https://roy.house.gov/,,1319 Longworth House Office Building,R000614,,H8TX21307,,,,1972-08-07,TX
N00046067,Troy Nehls,Nehls,R,TX22,M,2020,0,,202225-5951,202225-5241,https://nehls.house.gov/,,"1104 Longworth House Office Building Washington, DC  20515",N000026,188334,,@RepTroyNehls,,,04/07/68,TX
N00044592,Tony Gonzales,Gonzales,R,TX23,M,2020,0,,202225-4511,202225-2237,https://gonzales.house.gov/,,"1009 Longworth House Office Building, Washington, DC 20515",G000594,,,@RepTonyGonzales,,RepTonyGonzales,10/10/80,TX
N00045167,Beth Van Duyne,Van Duyne,R,TX24,F,2020,0,,202225-6605,,https://vanduyne.house.gov/,,"1337 Longworth House Office Building, Washington, DC 20515",V000134,79150,,@RepBethVanDuyne,,,11/16/70,TX
N00030602,Roger Williams,Williams,R,TX25,M,2012,0,,202-225-9896,512-473-8946,http://williams.house.gov,https://williams.house.gov/contact/email-me,1323 Longworth House Office Building,W000816,50112,H2TX33040,RepRWilliams,,RepRogerWilliams,1949-09-13,TX
N00025219,Michael Burgess,Burgess,R,TX26,M,2002,0,,202-225-7772,202-225-2919,http://burgess.house.gov,http://burgess.house.gov/contact/356345.htm,2336 Rayburn House Office Building,B001248,50120,H2TX26093,MichaelCBurgess,https://youtube.com/michaelcburgessmd,michaelcburgess,1950-12-23,TX
N00041882,Michael Cloud,Cloud,R,TX27,M,2018,0,,202-225-7742,,https://cloud.house.gov/,,1314 Longworth House Office Building,C001115,,H8TX27049,RepCloudTX,,,1975-05-13,TX
N00024978,Henry Cuellar,Cuellar,D,TX28,M,2004,0,,202-225-1640,202-225-1641,http://cuellar.house.gov,https://cuellar.house.gov/forms/writeyourrep/default.aspx,2209 Rayburn House Office Building,C001063,5486,H2TX23082,RepCuellar,https://youtube.com/henrycuellar,152569121550,1955-09-19,TX
N00042282,Sylvia Garcia,Garcia,D,TX29,F,2018,0,,202-225-1688,,https://sylviagarcia.house.gov/,,1620 Longworth House Office Building,G000587,,H8TX29052,RepSylviaGarcia,,,1950-09-06,TX
N00049840,Jasmine Crockett,Crockett,D,TX30,F,2022,0,,,,,,,C001130,,H2TX30178,,,,,TX
N00025095,John Carter,Carter,R,TX31,M,2002,0,,202-225-3864,202-225-5886,https://carter.house.gov,https://carter.house.gov/email-john2,2110 Rayburn House Office Building,C001051,49296,H2TX31044,JudgeCarter,https://youtube.com/repjohncarter,judgecarter,1941-11-06,TX
N00040989,Colin Allred,Allred,D,TX32,M,2018,15,Running for Senate,202-225-2231,,https://allred.house.gov/,,328 Cannon House Office Building,A000376,,S4TX00722,RepColinAllred,,,1983-04-15,TX
N00033839,Marc Veasey,Veasey,D,TX33,M,2012,0,,202-225-9897,202-225-9702,http://veasey.house.gov,https://veaseyforms.house.gov/forms/writeyourrep/,1519 Longworth House Office Building,V000131,49671,H2TX33073,RepVeasey,https://youtube.com/marcveasey,CongressmanMarcVeasey,1971-01-03,TX
N00038809,Vicente Gonzalez,Gonzalez,D,TX34,M,2016,0,,202-225-2531,,https://gonzalez.house.gov,,113 Cannon House Office Building,G000581,,H6TX15162,RepGonzalez,,USCongressmanVicenteGonzalez,1967-09-04,TX
N00049855,Greg Casar,Casar,D,TX35,M,2022,0,,,,,,,C001131,,H2TX35144,,,,,TX
N00005736,Brian Babin,Babin,R,TX36,M,2014,0,,202-225-1555,202-226-0396,http://babin.house.gov,,316 Cannon House Office Building,B001291,,H6TX02079,RepBrianBabin,,RepBrianBabin,1948-03-23,TX
