sector_name,sectorid,indivs,pacs,total,last_updated,cycle,cid
Communic/Electronics,B,3800,11500,15300,06/10/2019,2018,N00041871
Construction,C,18800,24500,43300,06/10/2019,2018,N00041871
Defense,D,1000,5000,6000,06/10/2019,2018,N00041871
Energy/Nat Resource,E,28600,66200,94800,06/10/2019,2018,N00041871
Finance/Insur/RealEst,F,39600,73000,112600,06/10/2019,2018,N00041871
Health,H,15325,27500,42825,06/10/2019,2018,N00041871
Lawyers & Lobbyists,K,34250,14250,48500,06/10/2019,2018,N00041871
Transportation,M,15900,18500,34400,06/10/2019,2018,N00041871
Misc Business,N,37350,43950,81300,06/10/2019,2018,N00041871
Labor,P,0,77500,77500,06/10/2019,2018,N00041871
Ideology/Single-Issue,Q,49337,111451,160788,06/10/2019,2018,N00041871
Other,W,48685,0,48685,06/10/2019,2018,N00041871
Agribusiness,A,44460,48500,92960,06/10/2019,2018,N00036409
Communic/Electronics,B,5225,23250,28475,06/10/2019,2018,N00036409
Construction,C,25315,29500,54815,06/10/2019,2018,N00036409
Defense,D,520,13000,13520,06/10/2019,2018,N00036409
Energy/Nat Resource,E,28850,43500,72350,06/10/2019,2018,N00036409
Finance/Insur/RealEst,F,176767,117000,293767,06/10/2019,2018,N00036409
Health,H,44725,32266,76991,06/10/2019,2018,N00036409
Lawyers & Lobbyists,K,66463,10000,76463,06/10/2019,2018,N00036409
Transportation,M,21610,52000,73610,06/10/2019,2018,N00036409
Misc Business,N,113125,82500,195625,06/10/2019,2018,N00036409
Labor,P,0,13000,13000,06/10/2019,2018,N00036409
Ideology/Single-Issue,Q,91065,176882,267947,06/10/2019,2018,N00036409
Other,W,260091,5000,265091,06/10/2019,2018,N00036409
Agribusiness,A,9890,44500,54390,06/10/2019,2018,N00027510
Communic/Electronics,B,41924,42069,83993,06/10/2019,2018,N00027510
Construction,C,12013,22500,34513,06/10/2019,2018,N00027510
Defense,D,6675,44500,51175,06/10/2019,2018,N00027510
Energy/Nat Resource,E,2606,24500,27106,06/10/2019,2018,N00027510
Finance/Insur/RealEst,F,87015,580500,667515,06/10/2019,2018,N00027510
Health,H,17382,39500,56882,06/10/2019,2018,N00027510
Lawyers & Lobbyists,K,81317,26500,107817,06/10/2019,2018,N00027510
Transportation,M,10300,15500,25800,06/10/2019,2018,N00027510
Misc Business,N,25095,64000,89095,06/10/2019,2018,N00027510
Labor,P,250,138000,138250,06/10/2019,2018,N00027510
Ideology/Single-Issue,Q,33135,82000,115135,06/10/2019,2018,N00027510
Other,W,96748,0,96748,06/10/2019,2018,N00027510
Agribusiness,A,4250,37000,41250,06/10/2019,2018,N00003473
Communic/Electronics,B,3250,17500,20750,06/10/2019,2018,N00003473
Construction,C,22150,31000,53150,06/10/2019,2018,N00003473
Defense,D,16000,111500,127500,06/10/2019,2018,N00003473
Energy/Nat Resource,E,27746,47250,74996,06/10/2019,2018,N00003473
Finance/Insur/RealEst,F,12375,43500,55875,06/10/2019,2018,N00003473
Health,H,11500,38000,49500,06/10/2019,2018,N00003473
Lawyers & Lobbyists,K,63850,23500,87350,06/10/2019,2018,N00003473
Transportation,M,10600,83500,94100,06/10/2019,2018,N00003473
Misc Business,N,18950,59582,78532,06/10/2019,2018,N00003473
Labor,P,0,23500,23500,06/10/2019,2018,N00003473
Ideology/Single-Issue,Q,1000,18000,19000,06/10/2019,2018,N00003473
Other,W,34100,10000,44100,06/10/2019,2018,N00003473
Agribusiness,A,128260,6500,134760,06/10/2019,2018,N00038397
Communic/Electronics,B,912787,21750,934537,06/10/2019,2018,N00038397
Construction,C,168575,11000,179575,06/10/2019,2018,N00038397
Defense,D,27862,5000,32862,06/10/2019,2018,N00038397
Energy/Nat Resource,E,144417,10000,154417,06/10/2019,2018,N00038397
Finance/Insur/RealEst,F,1447592,16000,1463592,06/10/2019,2018,N00038397
Health,H,563868,26666,590534,06/10/2019,2018,N00038397
Lawyers & Lobbyists,K,1754649,24083,1778732,06/10/2019,2018,N00038397
Transportation,M,48905,6500,55405,06/10/2019,2018,N00038397
Misc Business,N,789867,11000,800867,06/10/2019,2018,N00038397
Labor,P,9381,303500,312881,06/10/2019,2018,N00038397
Ideology/Single-Issue,Q,1790695,558151,2348846,06/10/2019,2018,N00038397
Other,W,4264567,1500,4266067,06/10/2019,2018,N00038397
Agribusiness,A,41457,0,41457,06/10/2019,2018,N00041668
Communic/Electronics,B,566050,0,566050,06/10/2019,2018,N00041668
Construction,C,61157,0,61157,06/10/2019,2018,N00041668
Defense,D,3473,0,3473,06/10/2019,2018,N00041668
Energy/Nat Resource,E,23211,0,23211,06/10/2019,2018,N00041668
Finance/Insur/RealEst,F,573745,5000,578745,06/10/2019,2018,N00041668
Health,H,209209,2000,211209,06/10/2019,2018,N00041668
Lawyers & Lobbyists,K,384144,12000,396144,06/10/2019,2018,N00041668
Transportation,M,22956,0,22956,06/10/2019,2018,N00041668
Misc Business,N,240677,1000,241677,06/10/2019,2018,N00041668
Labor,P,2595,136500,139095,06/10/2019,2018,N00041668
Ideology/Single-Issue,Q,228428,244793,473221,06/10/2019,2018,N00041668
Other,W,1190741,0,1190741,06/10/2019,2018,N00041668
Agribusiness,A,82911,34250,117161,06/10/2019,2018,N00036351
Communic/Electronics,B,38857,33000,71857,06/10/2019,2018,N00036351
Construction,C,59858,20000,79858,06/10/2019,2018,N00036351
Defense,D,2175,31000,33175,06/10/2019,2018,N00036351
Energy/Nat Resource,E,87590,64700,152290,06/10/2019,2018,N00036351
